unit,phenomenon,geo_nuts,2013
count,population,AL01,826904
count,population,AL02,1146183
count,population,AL03,903504
count,population,AT11,291942
count,population,AT12,1665753
count,population,AT13,1867582
count,population,AT21,561077
count,population,AT22,1237298
count,population,AT31,1465045
count,population,AT32,549263
count,population,AT33,746153
count,population,AT34,388752
count,population,BE10,1199095
count,population,BE21,1838863
count,population,BE22,869664
count,population,BE23,1498483
count,population,BE24,1130644
count,population,BE25,1188407
count,population,BE31,399735
count,population,BE32,1342053
count,population,BE33,1106039
count,population,BE34,284617
count,population,BE35,494127
count,population,BG31,769623
count,population,BG32,805441
count,population,BG33,939262
count,population,BG34,1046125
count,population,BG41,2115344
count,population,BG42,1426064
count,population,CH01,1613522
count,population,CH02,1859557
count,population,CH03,1142156
count,population,CH04,1487969
count,population,CH05,1162684
count,population,CH06,799287
count,population,CH07,354375
count,population,CY00,854802
count,population,CZ01,1280508
count,population,CZ02,1338982
count,population,CZ03,1217411
count,population,CZ04,1118126
count,population,CZ05,1508527
count,population,CZ06,1687764
count,population,CZ07,1217623
count,population,CZ08,1209879
count,population,DE11,4098278
count,population,DE12,2779314
count,population,DE13,2239734
count,population,DE14,1834567
count,population,DE21,4633323
count,population,DE22,1219397
count,population,DE23,1098378
count,population,DE24,1062394
count,population,DE25,1750059
count,population,DE26,1309209
count,population,DE27,1857991
count,population,DE30,3574830
count,population,DE40,2494648
count,population,DE50,678753
count,population,DE60,1810438
count,population,DE71,3951234
count,population,DE72,1043643
count,population,DE73,1218211
count,population,DE80,1610674
count,population,DE91,1595609
count,population,DE92,2139976
count,population,DE93,1703945
count,population,DE94,2506155
count,population,DEA1,5190790
count,population,DEA2,4439416
count,population,DEA3,2619376
count,population,DEA4,2054205
count,population,DEA5,3586313
count,population,DEB1,1492187
count,population,DEB2,528728
count,population,DEB3,2045138
count,population,DEC0,996651
count,population,DED2,1600155
count,population,DED4,1454144
count,population,DED5,1027484
count,population,DEE0,2236252
count,population,DEF0,2881926
count,population,DEG0,2158128
count,population,DK01,1807404
count,population,DK02,832553
count,population,DK03,1217224
count,population,DK04,1304253
count,population,DK05,587335
count,population,EE00,1315635
count,population,EL30,3773559
count,population,EL41,203700
count,population,EL42,338383
count,population,EL43,632674
count,population,EL51,602799
count,population,EL52,1880122
count,population,EL53,271488
count,population,EL54,335250
count,population,EL61,725874
count,population,EL62,205431
count,population,EL63,663970
count,population,EL64,555761
count,population,EL65,579182
count,population,ES11,2710216
count,population,ES12,1034302
count,population,ES13,581490
count,population,ES21,2167323
count,population,ES22,640353
count,population,ES23,312624
count,population,ES24,1316072
count,population,ES30,6476838
count,population,ES41,2435951
count,population,ES42,2040977
count,population,ES43,1077525
count,population,ES51,7441284
count,population,ES52,4935182
count,population,ES53,1150962
count,population,ES61,8408976
count,population,ES62,1472991
count,population,ES63,85034
count,population,ES64,84946
count,population,ES70,2154978
count,population,FI19,1380593
count,population,FI1B,1638293
count,population,FI1C,1159174
count,population,FI1D,1296023
count,population,FI20,29214
count,population,FR10,12193865
count,population,FR21,1334453
count,population,FR22,1934171
count,population,FR23,1865332
count,population,FR24,2582302
count,population,FR25,1477290
count,population,FR26,1637366
count,population,FR30,4087132
count,population,FR41,2330674
count,population,FR42,1888937
count,population,FR43,1179900
count,population,FR51,3765798
count,population,FR52,3323130
count,population,FR53,1811206
count,population,FR61,3422179
count,population,FR62,3046465
count,population,FR63,735908
count,population,FR71,6621564
count,population,FR72,1365263
count,population,FR81,2815936
count,population,FR82,5047942
count,population,FR83,334283
count,population,FRA1,429085
count,population,FRA2,374780
count,population,FRA3,274153
count,population,FRA4,860815
count,population,FRA5,249154
count,population,HR03,1387363
count,population,HR04,2766850
count,population,HU10,3000076
count,population,HU21,1056097
count,population,HU22,983251
count,population,HU23,894223
count,population,HU31,1143902
count,population,HU32,1468088
count,population,HU33,1251924
count,population,IE01,1274988
count,population,IE02,3509395
count,population,IS00,338349
count,population,ITC1,4392526
count,population,ITC2,126883
count,population,ITC3,1565307
count,population,ITC4,10019166
count,population,ITF1,1322247
count,population,ITF2,310449
count,population,ITF3,5839084
count,population,ITF4,4063888
count,population,ITF5,570365
count,population,ITF6,1965128
count,population,ITG1,5056641
count,population,ITG2,1653135
count,population,ITH1,524256
count,population,ITH2,538604
count,population,ITH3,4907529
count,population,ITH4,1217872
count,population,ITH5,4448841
count,population,ITI1,3742437
count,population,ITI2,888908
count,population,ITI3,1538055
count,population,ITI4,5898124
count,population,LI00,37810
count,population,LT00,2847904
count,population,LU00,590667
count,population,LV00,1950116
count,population,ME00,622387
count,population,MK00,2073483
count,population,MKXX,219
count,population,MT00,460297
count,population,NL11,583581
count,population,NL12,646874
count,population,NL13,491792
count,population,NL21,1147687
count,population,NL22,2047901
count,population,NL23,407818
count,population,NL31,1284504
count,population,NL32,2809483
count,population,NL33,3650222
count,population,NL34,381568
count,population,NL41,2512531
count,population,NL42,1117546
count,population,NO01,1271127
count,population,NO02,385669
count,population,NO03,992962
count,population,NO04,772813
count,population,NO05,896503
count,population,NO06,454596
count,population,NO07,484647
count,population,PL11,2471620
count,population,PL12,5341484
count,population,PL21,3339803
count,population,PL22,4510528
count,population,PL31,2112787
count,population,PL32,2084722
count,population,PL33,1237518
count,population,PL34,1156947
count,population,PL41,3457473
count,population,PL42,1681246
count,population,PL43,1004892
count,population,PL51,2866218
count,population,PL52,950710
count,population,PL61,2060575
count,population,PL62,1410641
count,population,PL63,2285800
count,population,PT11,3584575
count,population,PT15,441469
count,population,PT16,2243934
count,population,PT17,2821349
count,population,PT18,718087
count,population,PT20,245283
count,population,PT30,254876
count,population,RO11,2568730
count,population,RO12,2332935
count,population,RO21,3239612
count,population,RO22,2446734
count,population,RO31,3003349
count,population,RO32,2287347
count,population,RO41,1973140
count,population,RO42,1792503
count,population,SE11,2269060
count,population,SE12,1664145
count,population,SE21,847667
count,population,SE22,1483018
count,population,SE23,1992116
count,population,SE31,848451
count,population,SE32,374245
count,population,SE33,516451
count,population,SI03,1091159
count,population,SI04,974736
count,population,SK01,641892
