phenomenon,unit,geo_nuts,2016,2014,2012,2010,2008,2006,2004
GEN_HH,KG_HAB,AT,7008,6537,5699,5596,6767,6565,6488
GEN_HH,KG_HAB,BA,,,1161,,,,
GEN_HH,KG_HAB,BE,5573,5171,4847,5630,4540,5627,5068
GEN_HH,KG_HAB,BG,16907,24872,22072,22635,22375,21429,26050
GEN_HH,KG_HAB,CY,2892,2316,2165,2861,2343,1663,3079
GEN_HH,KG_HAB,CZ,2402,2223,2205,2268,2448,2417,2871
GEN_HH,KG_HAB,DE,4858,4785,4576,4446,4540,4416,4412
GEN_HH,KG_HAB,DK,3663,3687,2989,2923,2759,2704,2329
GEN_HH,KG_HAB,EE,18451,16587,16627,14270,14647,14058,15310
GEN_HH,KG_HAB,EL,,6404,6549,6333,6197,4657,3044
GEN_HH,KG_HAB,ES,2774,2378,2535,2953,3248,3625,3743
GEN_HH,KG_HAB,EU28,4962,4955,4939,4891,4842,5162,5161
GEN_HH,KG_HAB,FI,22359,17572,16961,19454,15394,13711,13333
GEN_HH,KG_HAB,FR,4838,4910,5268,5478,5376,4923,4743
GEN_HH,KG_HAB,HR,1265,879,789,735,968,1258,1673
GEN_HH,KG_HAB,HU,1621,1688,1644,1674,1688,2213,2440
GEN_HH,KG_HAB,IE,,3256,2764,4344,5012,6926,6019
GEN_HH,KG_HAB,IS,3182,2441,1651,1607,2434,,1717
GEN_HH,KG_HAB,IT,2705,2597,2594,2676,3047,2666,2424
GEN_HH,KG_HAB,LI,13325,15278,12727,8666,10806,,
GEN_HH,KG_HAB,LT,2317,2114,1901,1801,1980,1945,2076
GEN_HH,KG_HAB,LU,17405,12713,15816,20597,19630,17728,18153
GEN_HH,KG_HAB,LV,1292,1315,1135,714,687,838,556
GEN_HH,KG_HAB,ME,2708,1872,621,,,,
GEN_HH,KG_HAB,MK,688,1058,4111,1133,666,,
GEN_HH,KG_HAB,MT,4329,3831,3467,3264,5057,7060,7840
GEN_HH,KG_HAB,NL,8281,7848,7233,7291,6242,6067,5678
GEN_HH,KG_HAB,NO,2139,2066,2136,1929,2157,2127,1623
GEN_HH,KG_HAB,PL,4793,4714,4266,4171,3645,4028,3601
GEN_HH,KG_HAB,PT,1427,1402,1349,1637,1599,3322,2796
GEN_HH,KG_HAB,RO,9012,8871,12432,9949,9209,16248,17215
GEN_HH,KG_HAB,RS,6937,6890,7640,4610,,,
GEN_HH,KG_HAB,SE,14272,17226,16420,12545,9346,10459,10203
GEN_HH,KG_HAB,SI,2672,2273,2210,2922,2493,3008,2890
GEN_HH,KG_HAB,SK,1953,1636,1558,1741,2133,2699,1986
GEN_HH,KG_HAB,TR,953,947,896,869,912,665,870
GEN_HH,KG_HAB,UK,4227,4204,3903,3944,4566,4785,4981
GEN_HH,KG_HAB,XK,1607,574,646,,,,
