phenomenon,unit,waste,geo_nuts,2016,2014,2012,2010,2008,2006,2004
RCV_B,KG_HAB,TOTAL,AL,,0,,,,,
RCV_B,KG_HAB,TOTAL,AT,758,1268,1477,334,,,
RCV_B,KG_HAB,TOTAL,BE,0,0,0,0,,,
RCV_B,KG_HAB,TOTAL,BG,0,0,0,0,,,
RCV_B,KG_HAB,TOTAL,CY,641,552,287,1286,,,
RCV_B,KG_HAB,TOTAL,CZ,630,550,489,557,,,
RCV_B,KG_HAB,TOTAL,DE,1238,1160,1137,1114,,,
RCV_B,KG_HAB,TOTAL,DK,0,0,0,0,,,
RCV_B,KG_HAB,TOTAL,EE,1688,1874,3172,2543,,,
RCV_B,KG_HAB,TOTAL,EL,,499,493,577,,,
RCV_B,KG_HAB,TOTAL,ES,130,280,175,123,,,
RCV_B,KG_HAB,TOTAL,FI,0,0,0,540,,,
RCV_B,KG_HAB,TOTAL,FR,472,484,605,643,,,
RCV_B,KG_HAB,TOTAL,HR,36,16,10,0,,,
RCV_B,KG_HAB,TOTAL,HU,52,51,44,42,,,
RCV_B,KG_HAB,TOTAL,IE,1138,801,432,453,,,
RCV_B,KG_HAB,TOTAL,IS,1633,1139,9,6,,,
RCV_B,KG_HAB,TOTAL,IT,2,5,3,6,,,
RCV_B,KG_HAB,TOTAL,LT,70,39,22,0,,,
RCV_B,KG_HAB,TOTAL,LU,4703,2450,3643,180,,,
RCV_B,KG_HAB,TOTAL,LV,11,9,0,0,,,
RCV_B,KG_HAB,TOTAL,ME,0,1,,,,,
RCV_B,KG_HAB,TOTAL,MK,,0,0,0,,,
RCV_B,KG_HAB,TOTAL,MT,2049,1346,1033,139,,,
RCV_B,KG_HAB,TOTAL,NL,0,0,0,0,,,
RCV_B,KG_HAB,TOTAL,NO,65,86,28,10,,,
RCV_B,KG_HAB,TOTAL,PL,952,1030,922,864,,,
RCV_B,KG_HAB,TOTAL,PT,89,0,0,0,,,
RCV_B,KG_HAB,TOTAL,RO,39,52,52,8,,,
RCV_B,KG_HAB,TOTAL,RS,52,0,0,0,,,
