GENESIS-Tabelle: 32121-001z
Öffentliche Abfallentsorgung: Kreis, Aufkommen an;;;;;;;
Haushaltsabfällen, Abfallarten, Jahre;;;;;;;
Erhebung der öffentl.-rechtl. Abfallentsorgung;;;;;;;
Aufkommen an Haushaltsabfällen(oh.Elektroaltger.) (t);;;;;;;
Bundesland: Bayern;;;;;;;
;Insgesamt;Haus- und Sperrmüll;Getrennt erfasste organische Abfälle insgesamt;organischer Abfall aus der Biotonne;biologisch abbaubarer Abfall;Getrennt erfasste Wertstoffe;Sonstige Abfälle
2007;5742652;2043749;1651592;618146;1033446;1981975;65336
2008;5775426;2037579;1715531;620858;1094673;1958317;63999
2009;5863637;2056824;1772243;637430;1134813;1967153;67417
2010;5844904;2050434;1733673;622673;1111000;1976227;84570
2011;5909630;2080442;1781611;645959;1135652;2040856;6721
2012;5893941;2059972;1808247;656971;1151276;1987478;38244
2013;5941115;2090336;1792715;661213;1131502;2001702;56362
2014;6066732;2097374;1895439;695155;1200284;2006104;67815
2015;6057280;2118364;1852017;684255;1167762;2020192;66707
2016;6259932;2148962;1983508;726665;1256843;2053357;74105
2017;6270313;2159133;1989444;714890;1274554;2060499;61237
__________
(C)opyright 2018 Bayerisches Landesamt für Statistik
Stand: 04.12.2018 - 12:36:56
