wst_oper,unit,geo\time,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
DSP_I,THS_T,AT,0,0,0,0,0,0,0,0,0,0,: ,: ,: ,: 
DSP_I,THS_T,AT11,0,0,0,0,0,0,0,: ,: ,0,: ,: ,: ,: 
DSP_I,THS_T,AT12,0,0,0,0,0,0,0,: ,: ,0,: ,: ,: ,: 
DSP_I,THS_T,AT13,0,0,0,0,0,0,0,: ,: ,0,: ,: ,: ,: 
DSP_I,THS_T,AT21,0,0,0,0,0,0,0,: ,: ,0,: ,: ,: ,: 
DSP_I,THS_T,AT22,0,0,0,0,0,0,0,: ,: ,0,: ,: ,: ,: 
DSP_I,THS_T,AT31,0,0,0,0,0,0,0,: ,: ,0,: ,: ,: ,: 
DSP_I,THS_T,AT32,0,0,0,0,0,0,0,: ,: ,0,: ,: ,: ,: 
DSP_I,THS_T,AT33,0,0,0,0,0,0,0,: ,: ,0,: ,: ,: ,: 
DSP_I,THS_T,AT34,0,0,0,0,0,0,0,: ,: ,0,: ,: ,: ,: 
DSP_I,THS_T,BE,100.02,137.8,140.65,90.57,98.88,103.07,16,: ,82,90,139,167,146,120
DSP_I,THS_T,BE10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,BE21,0.19,0.16,0.16,0,0,0,0,0,0,0,5,18,1,1
DSP_I,THS_T,BE22,0,0,0,0,0,0,0,0,0,0,1,1,1,0
DSP_I,THS_T,BE23,0.23,0.59,0.53,3,13,13,16,0,82,89,119,131,126,113
DSP_I,THS_T,BE24,0.04,0.01,0.01,0,0,0,0,0,0,1,14,17,18,6
DSP_I,THS_T,BE25,3.49,52.68,51.98,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,BE31,0.63,0.14,0.11,0.15,0.14,0.1,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,BE32,93.99,83.6,87.34,86.77,85.09,89.47,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,BE33,0.07,0.31,0.26,0.32,0.32,0.25,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,BE34,0.03,0.12,0.1,0.13,0.13,0.1,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,BE35,1.35,0.19,0.16,0.2,0.2,0.15,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,CH,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,CY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,CY00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,CZ,: ,: ,2.62,2.15,2.12,1.72,1.65,1.61,0.6,0.7,2,3,: ,: 
DSP_I,THS_T,EE,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01
DSP_I,THS_T,EE00,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.01
DSP_I,THS_T,ES,: ,: ,: ,: ,: ,0,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,FR,: ,: ,438.2,355.29,: ,522.37,: ,579.224,: ,678.16,: ,779.368,: ,1423.6
DSP_I,THS_T,FR10,: ,: ,41.4,24.37,: ,24.354,: ,59.7,: ,44.16,: ,81.688,: ,67.3
DSP_I,THS_T,FR21,: ,: ,0.9,0,: ,0,: ,0,: ,0,: ,0,: ,0
DSP_I,THS_T,FR22,: ,: ,0,0,: ,0,: ,0,: ,0,: ,0,: ,30.2
DSP_I,THS_T,FR23,: ,: ,0.9,0,: ,0,: ,0,: ,0,: ,28.707,: ,78.1
DSP_I,THS_T,FR24,: ,: ,27.5,33.17,: ,40.588,: ,42.299,: ,44.58,: ,20.707,: ,208.6
DSP_I,THS_T,FR25,: ,: ,0.4,0,: ,0,: ,0,: ,0,: ,0,: ,0
DSP_I,THS_T,FR26,: ,: ,0.8,0,: ,0,: ,0,: ,0,: ,6.158,: ,60.9
