GENESIS-Tabelle: 32121-0003
Aufkommen an Haushaltsabfällen: Bundesländer, Jahre,;;;;
Abfallarten;;;;
Erhebung der öffentlich-rechtl. Abfallentsorgung;;;;
;;;Aufkommen an Haushaltsabfällen;Aufkommen an Haushaltsabfällen je Einwohner
;;;1000 t;kg
2016;Baden-Württemberg;Haus- und Sperrmüll;1529,2;140
2016;Baden-Württemberg;Getrennt erfasste organische Abfälle;1536,5;140
2016;Baden-Württemberg;Getrennt erfasste Wertstoffe;1802,8;165
2016;Baden-Württemberg;Elektroaltgeräte;.;.
2016;Baden-Württemberg;Sonstige Abfälle;8,0;1
2016;Bayern;Haus- und Sperrmüll;2149,0;166
2016;Bayern;Getrennt erfasste organische Abfälle;1983,5;153
2016;Bayern;Getrennt erfasste Wertstoffe;2053,4;159
2016;Bayern;Elektroaltgeräte;.;.
2016;Bayern;Sonstige Abfälle;74,1;6
2016;Berlin;Haus- und Sperrmüll;885,5;248
2016;Berlin;Getrennt erfasste organische Abfälle;85,3;24
2016;Berlin;Getrennt erfasste Wertstoffe;389,2;109
2016;Berlin;Elektroaltgeräte;.;.
2016;Berlin;Sonstige Abfälle;1,9;1
2016;Brandenburg;Haus- und Sperrmüll;523,6;210
2016;Brandenburg;Getrennt erfasste organische Abfälle;165,8;66
2016;Brandenburg;Getrennt erfasste Wertstoffe;339,3;136
2016;Brandenburg;Elektroaltgeräte;.;.
2016;Brandenburg;Sonstige Abfälle;5,4;2
2016;Bremen;Haus- und Sperrmüll;153,1;226
2016;Bremen;Getrennt erfasste organische Abfälle;58,3;86
2016;Bremen;Getrennt erfasste Wertstoffe;82,7;122
2016;Bremen;Elektroaltgeräte;.;.
2016;Bremen;Sonstige Abfälle;0,1;0
2016;Hamburg;Haus- und Sperrmüll;495,6;274
2016;Hamburg;Getrennt erfasste organische Abfälle;92,9;51
2016;Hamburg;Getrennt erfasste Wertstoffe;209,6;116
2016;Hamburg;Elektroaltgeräte;.;.
2016;Hamburg;Sonstige Abfälle;2,4;1
2016;Hessen;Haus- und Sperrmüll;1114,3;179
2016;Hessen;Getrennt erfasste organische Abfälle;860,2;138
2016;Hessen;Getrennt erfasste Wertstoffe;875,9;141
2016;Hessen;Elektroaltgeräte;.;.
2016;Hessen;Sonstige Abfälle;3,7;1
2016;Mecklenburg-Vorpommern;Haus- und Sperrmüll;364,0;226
2016;Mecklenburg-Vorpommern;Getrennt erfasste organische Abfälle;120,1;75
2016;Mecklenburg-Vorpommern;Getrennt erfasste Wertstoffe;215,4;134
2016;Mecklenburg-Vorpommern;Elektroaltgeräte;.;.
2016;Mecklenburg-Vorpommern;Sonstige Abfälle;1,0;1
2016;Niedersachsen;Haus- und Sperrmüll;1494,7;188
2016;Niedersachsen;Getrennt erfasste organische Abfälle;1297,0;163
2016;Niedersachsen;Getrennt erfasste Wertstoffe;1332,1;168
2016;Niedersachsen;Elektroaltgeräte;.;.
2016;Niedersachsen;Sonstige Abfälle;13,5;2
2016;Nordrhein-Westfalen;Haus- und Sperrmüll;3794,4;212
2016;Nordrhein-Westfalen;Getrennt erfasste organische Abfälle;2079,4;116
2016;Nordrhein-Westfalen;Getrennt erfasste Wertstoffe;2532,0;142
2016;Nordrhein-Westfalen;Elektroaltgeräte;.;.
2016;Nordrhein-Westfalen;Sonstige Abfälle;25,9;1
2016;Rheinland-Pfalz;Haus- und Sperrmüll;738,4;182
2016;Rheinland-Pfalz;Getrennt erfasste organische Abfälle;699,3;172
2016;Rheinland-Pfalz;Getrennt erfasste Wertstoffe;699,3;172
2016;Rheinland-Pfalz;Elektroaltgeräte;.;.
2016;Rheinland-Pfalz;Sonstige Abfälle;21,2;5
2016;Saarland;Haus- und Sperrmüll;187,9;189
2016;Saarland;Getrennt erfasste organische Abfälle;135,2;136
2016;Saarland;Getrennt erfasste Wertstoffe;158,0;158
2016;Saarland;Elektroaltgeräte;.;.
2016;Saarland;Sonstige Abfälle;0,4;0
2016;Sachsen;Haus- und Sperrmüll;614,1;150
2016;Sachsen;Getrennt erfasste organische Abfälle;228,6;56
2016;Sachsen;Getrennt erfasste Wertstoffe;501,7;123
2016;Sachsen;Elektroaltgeräte;.;.
2016;Sachsen;Sonstige Abfälle;3,7;1
2016;Sachsen-Anhalt;Haus- und Sperrmüll;438,1;196
2016;Sachsen-Anhalt;Getrennt erfasste organische Abfälle;274,9;123
2016;Sachsen-Anhalt;Getrennt erfasste Wertstoffe;304,5;136
2016;Sachsen-Anhalt;Elektroaltgeräte;.;.
2016;Sachsen-Anhalt;Sonstige Abfälle;2,5;1
2016;Schleswig-Holstein;Haus- und Sperrmüll;660,2;229
2016;Schleswig-Holstein;Getrennt erfasste organische Abfälle;339,0;118
2016;Schleswig-Holstein;Getrennt erfasste Wertstoffe;430,8;149
2016;Schleswig-Holstein;Elektroaltgeräte;.;.
2016;Schleswig-Holstein;Sonstige Abfälle;3,2;1
2016;Thüringen;Haus- und Sperrmüll;397,5;184
2016;Thüringen;Getrennt erfasste organische Abfälle;227,5;105
2016;Thüringen;Getrennt erfasste Wertstoffe;284,9;132
2016;Thüringen;Elektroaltgeräte;.;.
2016;Thüringen;Sonstige Abfälle;1,3;1
2016;Insgesamt;Haus- und Sperrmüll;15539,7;188
2016;Insgesamt;Getrennt erfasste organische Abfälle;10183,4;123
2016;Insgesamt;Getrennt erfasste Wertstoffe;12211,6;148
2016;Insgesamt;Elektroaltgeräte;.;.
2016;Insgesamt;Sonstige Abfälle;168,4;2
__________
"Aufkommen an Haushaltsabfällen:
Aufgrund der regional unterschiedlichen Organisation der
öffentlich-rechtlichen Abfallentsorgung enthalten die
Haushaltsabfälle in unterschiedlichem Maße hausmüllähnliche
Gewerbeabfälle (sogenannten Geschäftsmüll).

Aufkommen an Haushaltsabfällen je Einwohner:
Berechnet jeweils mit dem Bevölkerungsstand zum 31.12.,
ab Berichtsjahr 2011 auf Grundlage des Zensus 2011.

Elektroaltgeräte:
Mengen der Elektroaltgeräte sind nur in den Jahren 2004 und
2005 enthalten."
(C)opyright Statistisches Bundesamt (Destatis), 2018
Stand: 13.11.2018 / 19:50:33
