DR-Nummer;Kürzel;Bundesland;Indikator;Datenreihe;Spaltenüberschrift;Wert
4;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Trend;2007;320,1
4;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Trend;2008;316,16666666667
4;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Trend;2009;312,23333333333
4;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Trend;2010;308,3
4;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Trend;2011;304,36666666667
4;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Trend;2012;300,43333333333
4;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Trend;2013;296,5
4;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Trend;2014;292,56666666667
4;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Trend;2015;288,63333333333
4;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Trend;2016;284,7
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;1990;367,9
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;1995;360,3
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2000;338,5
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2005;328,7
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2006;334,7
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2007;329,7
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2008;325,9
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2009;289,7
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2010;306,1
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2011;299,7
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2012;300,7
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2013;306,7
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2014;293,9
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2015;285,4
5;NW;Nordrhein-Westfalen;Treibhausgasemissionen;Treibhausgasemissionen - Daten;2016;286,4
16;NW;Nordrhein-Westfalen;Stickstoffoxidemissionen;Stickstoffoxidemissionen - Daten;1996;478
16;NW;Nordrhein-Westfalen;Stickstoffoxidemissionen;Stickstoffoxidemissionen - Daten;2000;453
16;NW;Nordrhein-Westfalen;Stickstoffoxidemissionen;Stickstoffoxidemissionen - Daten;2004;420
16;NW;Nordrhein-Westfalen;Stickstoffoxidemissionen;Stickstoffoxidemissionen - Daten;2008;341
16;NW;Nordrhein-Westfalen;Stickstoffoxidemissionen;Stickstoffoxidemissionen - Daten;2012;294
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;1990;38
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;1991;40
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;1992;39
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;1993;36
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;1994;35
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;1995;34
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;1996;35
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;1997;35
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;1998;33
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;1999;32
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2000;30
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2001;31
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2002;30
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2003;34
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2004;31
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2005;31
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2006;29
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2007;27
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2008;28
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2009;29
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2010;28
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2011;26
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2012;25
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2013;25
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2014;24
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2015;23
17;NW;Nordrhein-Westfalen;Stickstoffdioxidkonzentration im städtischen Hintergrund;Stickstoffdioxidkonzentration im städtischen Hintergrund - Daten;2016;24
